2392,None,SWE,Bronze,Ice Hockey Men's Ice Hockey,Ice Hockey,1980 Winter,1980,Winter,Lake Placid
2397,None,SWE,Bronze,Ice Hockey Women's Ice Hockey,Ice Hockey,2002 Winter,2002,Winter,Salt Lake City
2398,None,SWE,Silver,Curling Men's Curling,Curling,1924 Winter,1924,Winter,Chamonix
2399,None,SWE,Bronze,Ice Hockey Men's Ice Hockey,Ice Hockey,1984 Winter,1984,Winter,Sarajevo
2404,None,FIN,Silver,Wrestling Men's Bantamweight Greco-Roman,Wrestling,1924 Summer,1924,Summer,Paris
2407,None,SWE,Silver,Wrestling Men's Middleweight B Greco-Roman,Wrestling,1912 Summer,1912,Summer,Stockholm
2411,None,USA,Gold,Rowing Men's Coxed Eights,Rowing,1948 Summer,1948,Summer,London
2424,None,GER,Bronze,Equestrianism Mixed Jumping Team,Equestrianism,2004 Summer,2004,Summer,Athina
2430,None,GER,Bronze,Equestrianism Mixed Jumping Team,Equestrianism,2016 Summer,2016,Summer,Rio de Janeiro
2434,None,SWE,Silver,Boxing Men's Lightweight,Boxing,1932 Summer,1932,Summer,Los Angeles
2439,None,SWE,Bronze,Football Men's Football,Football,1952 Summer,1952,Summer,Helsinki
2454,None,INA,Gold,Badminton Mixed Doubles,Badminton,2016 Summer,2016,Summer,Rio de Janeiro
2463,None,SWE,Gold,Athletics Men's Triple Jump,Athletics,1948 Summer,1948,Summer,London
2466,None,GER,Bronze,Beach Volleyball Men's Beach Volleyball,Beach Volleyball,2000 Summer,2000,Summer,Sydney
2467,None,USA,Gold,Swimming Women's 4 x 100 metres Freestyle Relay,Swimming,1992 Summer,1992,Summer,Barcelona
2468,None,USA,Silver,Swimming Women's 100 metres Butterfly,Swimming,1992 Summer,1992,Summer,Barcelona
2469,None,USA,Gold,Swimming Women's 4 x 100 metres Medley Relay,Swimming,1992 Summer,1992,Summer,Barcelona
2476,None,PAK,Bronze,Hockey Men's Hockey,Hockey,1992 Summer,1992,Summer,Barcelona
2479,None,PAK,Gold,Hockey Men's Hockey,Hockey,1968 Summer,1968,Summer,Mexico City
2481,None,PAK,Gold,Hockey Men's Hockey,Hockey,1960 Summer,1960,Summer,Roma
2490,None,PAK,Gold,Hockey Men's Hockey,Hockey,1984 Summer,1984,Summer,Los Angeles
2494,None,PAK,Bronze,Hockey Men's Hockey,Hockey,1992 Summer,1992,Summer,Barcelona
2503,None,PAK,Gold,Hockey Men's Hockey,Hockey,1984 Summer,1984,Summer,Los Angeles
2504,None,PAK,Gold,Hockey Men's Hockey,Hockey,1960 Summer,1960,Summer,Roma
2507,None,PAK,Gold,Hockey Men's Hockey,Hockey,1968 Summer,1968,Summer,Mexico City
2508,None,PAK,Silver,Hockey Men's Hockey,Hockey,1972 Summer,1972,Summer,Munich
2512,None,PAK,Bronze,Hockey Men's Hockey,Hockey,1992 Summer,1992,Summer,Barcelona
2533,None,FIN,Bronze,Sailing Mixed 8 metres,Sailing,1912 Summer,1912,Summer,Stockholm
2558,None,FIN,Silver,Ski Jumping Men's Large Hill Team,Ski Jumping,2002 Winter,2002,Winter,Salt Lake City
2561,None,FIN,Silver,Ski Jumping Men's Large Hill Team,Ski Jumping,2006 Winter,2006,Winter,Torino
2577,None,GER,Silver,Sailing Mixed Three Person Keelboat,Sailing,1964 Summer,1964,Summer,Tokyo
2578,None,GDR,Gold,Rowing Women's Coxed Eights,Rowing,1976 Summer,1976,Summer,Montreal
2580,None,USA,Gold,Rowing Men's Coxed Eights,Rowing,2004 Summer,2004,Summer,Athina
2585,None,CHI,Silver,Athletics Women's Javelin Throw,Athletics,1956 Summer,1956,Summer,Melbourne
2588,None,GER,Silver,Rowing Men's Coxed Eights,Rowing,1964 Summer,1964,Summer,Tokyo
2616,None,ITA,Silver,Water Polo Men's Water Polo,Water Polo,2012 Summer,2012,Summer,London
2617,None,ITA,Bronze,Water Polo Men's Water Polo,Water Polo,2016 Summer,2016,Summer,Rio de Janeiro
2619,None,ARG,Silver,Hockey Women's Hockey,Hockey,2000 Summer,2000,Summer,Sydney
2620,None,ARG,Bronze,Hockey Women's Hockey,Hockey,2004 Summer,2004,Summer,Athina
2621,None,ARG,Bronze,Hockey Women's Hockey,Hockey,2008 Summer,2008,Summer,Beijing
2623,None,SUI,Silver,Bobsleigh Men's Four,Bobsleigh,1936 Winter,1936,Winter,Garmisch-Partenkirchen
2636,None,ITA,Silver,Water Polo Women's Water Polo,Water Polo,2016 Summer,2016,Summer,Rio de Janeiro
2638,None,AUT,Silver,Weightlifting Men's Heavyweight,Weightlifting,1924 Summer,1924,Summer,Paris
2639,None,GER,Bronze,Canoeing Men's Kayak Singles Slalom,Canoeing,2012 Summer,2012,Summer,London
2646,None,JPN,Silver,Gymnastics Men's Team All-Around,Gymnastics,1956 Summer,1956,Summer,Melbourne
2647,None,JPN,Silver,Gymnastics Men's Floor Exercise,Gymnastics,1956 Summer,1956,Summer,Melbourne
2654,None,JPN,Gold,Gymnastics Men's Team All-Around,Gymnastics,1960 Summer,1960,Summer,Roma
2655,None,JPN,Gold,Gymnastics Men's Floor Exercise,Gymnastics,1960 Summer,1960,Summer,Roma
2664,None,JPN,Bronze,Gymnastics Men's Team All-Around,Gymnastics,1992 Summer,1992,Summer,Barcelona
2673,None,JPN,Bronze,Baseball Men's Baseball,Baseball,2004 Summer,2004,Summer,Athina
2675,None,AUS,Bronze,Rowing Men's Coxed Eights,Rowing,1956 Summer,1956,Summer,Melbourne
2689,None,GBR,Silver,Sailing Mixed One Person Dinghy,Sailing,1996 Summer,1996,Summer,Atlanta
2690,None,GBR,Gold,Sailing Mixed One Person Dinghy,Sailing,2000 Summer,2000,Summer,Sydney
2691,None,GBR,Gold,Sailing Men's One Person Dinghy,Sailing,2004 Summer,2004,Summer,Athina
2692,None,GBR,Gold,Sailing Mixed One Person Dinghy,Sailing,2008 Summer,2008,Summer,Beijing
2693,None,GBR,Gold,Sailing Men's One Person Heavyweight Dinghy,Sailing,2012 Summer,2012,Summer,London
2697,None,USA,Gold,Baseball Men's Baseball,Baseball,2000 Summer,2000,Summer,Sydney
2701,None,GBR,Gold,Athletics Men's 4 x 400 metres Relay,Athletics,1920 Summer,1920,Summer,Antwerpen
2716,None,GBR,Bronze,Sailing Mixed 5.5 metres,Sailing,1968 Summer,1968,Summer,Mexico City
2749,None,CAN,Silver,Basketball Men's Basketball,Basketball,1936 Summer,1936,Summer,Berlin
2750,None,GBR,Silver,Tennis Mixed Doubles Covered Courts,Tennis,1912 Summer,1912,Summer,Stockholm
2754,None,AUS,Silver,Cycling Men's Team Pursuit 4000 metres,Cycling,1992 Summer,1992,Summer,Barcelona
2755,None,AUS,Bronze,Cycling Men's Team Pursuit 4000 metres,Cycling,1996 Summer,1996,Summer,Atlanta
2757,None,AUS,Gold,Cycling Men's Madison,Cycling,2000 Summer,2000,Summer,Sydney
2762,None,FRA,Gold,Rugby Men's Rugby,Rugby,1900 Summer,1900,Summer,Paris
2773,None,UKR,Gold,Shooting Men's Small-Bore Rifle Prone 50 metres,Shooting,2008 Summer,2008,Summer,Beijing
2788,None,GRE,Bronze,Rhythmic Gymnastics Women's Group,Rhythmic Gymnastics,2000 Summer,2000,Summer,Sydney
2796,None,NGR,Bronze,Football Men's Football,Football,2016 Summer,2016,Summer,Rio de Janeiro
2799,None,CUB,Gold,Baseball Men's Baseball,Baseball,1992 Summer,1992,Summer,Barcelona
2800,None,CUB,Gold,Baseball Men's Baseball,Baseball,1996 Summer,1996,Summer,Atlanta
2801,None,CUB,Silver,Baseball Men's Baseball,Baseball,2000 Summer,2000,Summer,Sydney
2803,None,NGR,Silver,Football Men's Football,Football,2008 Summer,2008,Summer,Beijing
2811,None,CAN,Bronze,Athletics Men's 4 x 100 metres Relay,Athletics,2016 Summer,2016,Summer,Rio de Janeiro
2816,None,NGR,Gold,Athletics Women's Long Jump,Athletics,1996 Summer,1996,Summer,Atlanta
2827,None,GBR,Silver,Athletics Men's 4 x 400 metres Relay,Athletics,1984 Summer,1984,Summer,Los Angeles
2830,None,GBR,Bronze,Athletics Men's 400 metres Hurdles,Athletics,1992 Summer,1992,Summer,Barcelona
2831,None,GBR,Bronze,Athletics Men's 4 x 400 metres Relay,Athletics,1992 Summer,1992,Summer,Barcelona
2839,None,JPN,Silver,Wrestling Men's Featherweight Freestyle,Wrestling,1984 Summer,1984,Summer,Los Angeles
2841,None,JPN,Bronze,Wrestling Men's Lightweight Freestyle,Wrestling,1992 Summer,1992,Summer,Barcelona
2847,None,TUR,Gold,Wrestling Men's Bantamweight Freestyle,Wrestling,1948 Summer,1948,Summer,London
2849,None,JPN,Bronze,Short Track Speed Skating Men's 5000 metres Relay,Short Track Speed Skating,1992 Winter,1992,Winter,Albertville
2870,None,TUR,Bronze,Wrestling Men's Flyweight Freestyle,Wrestling,1956 Summer,1956,Summer,Melbourne
2872,None,TUR,Silver,Wrestling Men's Bantamweight Freestyle,Wrestling,1964 Summer,1964,Summer,Tokyo
2881,None,TUR,Silver,Wrestling Men's Featherweight Freestyle,Wrestling,1972 Summer,1972,Summer,Munich
2905,None,SWE,Gold,Canoeing Men's Kayak Doubles 10000 metres,Canoeing,1948 Summer,1948,Summer,London
2906,None,SWE,Silver,Canoeing Men's Kayak Doubles 10000 metres,Canoeing,1952 Summer,1952,Summer,Helsinki
2907,None,SWE,Gold,Sailing Mixed 6 metres,Sailing,1932 Summer,1932,Summer,Los Angeles
2912,None,USA,Gold,Football Women's Football,Football,1996 Summer,1996,Summer,Atlanta
2927,None,TUR,Gold,Wrestling Men's Super-Heavyweight Freestyle,Wrestling,2016 Summer,2016,Summer,Rio de Janeiro
2930,None,URS,Gold,Volleyball Women's Volleyball,Volleyball,1980 Summer,1980,Summer,Moskva
2935,None,RUS,Silver,Biathlon Women's 4 x 7.5 kilometres Relay,Biathlon,1998 Winter,1998,Winter,Nagano
2937,None,RUS,Bronze,Biathlon Women's 4 x 7.5 kilometres Relay,Biathlon,2002 Winter,2002,Winter,Salt Lake City
2939,None,RUS,Bronze,Biathlon Women's 10 kilometres Pursuit,Biathlon,2006 Winter,2006,Winter,Torino
2941,None,RUS,Bronze,Biathlon Women's 15 kilometres,Biathlon,2006 Winter,2006,Winter,Torino
2942,None,RUS,Gold,Biathlon Women's 4 x 6 kilometres Relay,Biathlon,2006 Winter,2006,Winter,Torino
2956,None,UZB,Bronze,Boxing Men's Bantamweight,Boxing,2016 Summer,2016,Summer,Rio de Janeiro
2962,None,RUS,Gold,Fencing Men's Foil Team,Fencing,2016 Summer,2016,Summer,Rio de Janeiro
2963,None,RUS,Silver,Wrestling Men's Super-Heavyweight Freestyle,Wrestling,2008 Summer,2008,Summer,Beijing
2966,None,BUL,Silver,Wrestling Men's Heavyweight Freestyle,Wrestling,1964 Summer,1964,Summer,Tokyo
2969,None,URS,Bronze,Hockey Women's Hockey,Hockey,1980 Summer,1980,Summer,Moskva
2979,None,URS,Bronze,Rowing Men's Coxless Fours,Rowing,1960 Summer,1960,Summer,Roma
2985,None,PAK,Gold,Hockey Men's Hockey,Hockey,1968 Summer,1968,Summer,Mexico City
2989,None,PAK,Gold,Hockey Men's Hockey,Hockey,1984 Summer,1984,Summer,Los Angeles
3006,None,UGA,Gold,Athletics Men's 400 metres Hurdles,Athletics,1972 Summer,1972,Summer,Munich
3012,None,URS,Gold,Water Polo Men's Water Polo,Water Polo,1972 Summer,1972,Summer,Munich
3014,None,URS,Gold,Water Polo Men's Water Polo,Water Polo,1980 Summer,1980,Summer,Moskva
3021,None,USA,Gold,Athletics Women's 4 x 100 metres Relay,Athletics,2016 Summer,2016,Summer,Rio de Janeiro
3022,None,USA,Silver,Volleyball Women's Volleyball,Volleyball,2012 Summer,2012,Summer,London
3023,None,USA,Bronze,Volleyball Women's Volleyball,Volleyball,2016 Summer,2016,Summer,Rio de Janeiro
3046,None,RUS,Silver,Weightlifting Men's Middle-Heavyweight,Weightlifting,2004 Summer,2004,Summer,Athina
3047,None,RUS,Bronze,Weightlifting Men's Middle-Heavyweight,Weightlifting,2008 Summer,2008,Summer,Beijing
3049,None,RUS,Bronze,Water Polo Women's Water Polo,Water Polo,2000 Summer,2000,Summer,Sydney
3068,None,EUN,Silver,Weightlifting Men's Heavyweight II,Weightlifting,1992 Summer,1992,Summer,Barcelona
3071,None,NGR,Bronze,Football Men's Football,Football,2016 Summer,2016,Summer,Rio de Janeiro
3096,None,USA,Bronze,Fencing Women's Sabre Team,Fencing,2016 Summer,2016,Summer,Rio de Janeiro
3102,None,URS,Bronze,Athletics Women's 4 x 400 metres Relay,Athletics,1976 Summer,1976,Summer,Montreal
3105,None,URS,Bronze,Athletics Men's 4 x 100 metres Relay,Athletics,1976 Summer,1976,Summer,Montreal
3107,None,URS,Gold,Athletics Men's 4 x 100 metres Relay,Athletics,1980 Summer,1980,Summer,Moskva
3118,None,RUS,Bronze,Rowing Men's Coxed Eights,Rowing,1996 Summer,1996,Summer,Atlanta
3127,None,URS,Bronze,Swimming Women's 4 x 100 metres Medley Relay,Swimming,1980 Summer,1980,Summer,Moskva
3145,None,URS,Silver,Sailing Mixed Two Person Keelboat,Sailing,1976 Summer,1976,Summer,Montreal
3149,None,SYR,Bronze,Boxing Men's Heavyweight,Boxing,2004 Summer,2004,Summer,Athina
3224,None,QAT,Bronze,Shooting Men's Skeet,Shooting,2012 Summer,2012,Summer,London
3303,None,KUW,Bronze,Shooting Men's Double Trap,Shooting,2000 Summer,2000,Summer,Sydney
3305,None,KUW,Bronze,Shooting Men's Trap,Shooting,2012 Summer,2012,Summer,London
3307,None,IOA,Gold,Shooting Men's Double Trap,Shooting,2016 Summer,2016,Summer,Rio de Janeiro
3355,None,KSA,Bronze,Equestrianism Mixed Jumping Team,Equestrianism,2012 Summer,2012,Summer,London
3361,None,KSA,Bronze,Equestrianism Mixed Jumping Individual,Equestrianism,2000 Summer,2000,Summer,Sydney
3438,None,PAK,Gold,Hockey Men's Hockey,Hockey,1984 Summer,1984,Summer,Los Angeles
3543,None,UAE,Gold,Shooting Men's Double Trap,Shooting,2004 Summer,2004,Summer,Athina
3681,None,IOA,Bronze,Shooting Men's Skeet,Shooting,2016 Summer,2016,Summer,Rio de Janeiro
3722,None,KSA,Bronze,Equestrianism Mixed Jumping Team,Equestrianism,2012 Summer,2012,Summer,London
3773,None,KSA,Silver,Athletics Men's 400 metres Hurdles,Athletics,2000 Summer,2000,Summer,Sydney
3834,None,ESP,Gold,Sailing Women's Windsurfer,Sailing,2012 Summer,2012,Summer,London
3837,None,URS,Silver,Basketball Men's Basketball,Basketball,1964 Summer,1964,Summer,Tokyo
3860,None,URS,Silver,Wrestling Men's Flyweight Freestyle,Wrestling,1972 Summer,1972,Summer,Munich
3871,None,PAK,Silver,Hockey Men's Hockey,Hockey,1956 Summer,1956,Summer,Melbourne
3872,None,PAK,Gold,Hockey Men's Hockey,Hockey,1960 Summer,1960,Summer,Roma
3912,None,CRO,Silver,Basketball Men's Basketball,Basketball,1992 Summer,1992,Summer,Barcelona
3938,None,FIN,Bronze,Ice Hockey Men's Ice Hockey,Ice Hockey,1994 Winter,1994,Winter,Lillehammer
3941,None,FIN,Gold,Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing,1960 Winter,1960,Winter,Squaw Valley
3966,None,ITA,Bronze,Sailing Mixed One Person Dinghy,Sailing,1968 Summer,1968,Summer,Mexico City
3970,None,ITA,Silver,Cross Country Skiing Men's 10 kilometres,Cross Country Skiing,1992 Winter,1992,Winter,Albertville
3973,None,ITA,Silver,Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing,1992 Winter,1992,Winter,Albertville
3974,None,ITA,Bronze,Cross Country Skiing Men's 10 kilometres,Cross Country Skiing,1994 Winter,1994,Winter,Lillehammer
3976,None,ITA,Gold,Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing,1994 Winter,1994,Winter,Lillehammer
3979,None,ITA,Silver,Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing,1998 Winter,1998,Winter,Nagano
3996,None,FRA,Bronze,Tennis Men's Doubles,Tennis,1920 Summer,1920,Summer,Antwerpen
4002,None,RUS,Bronze,Weightlifting Men's Super-Heavyweight,Weightlifting,2012 Summer,2012,Summer,London
4003,None,ESP,Silver,Football Men's Football,Football,2000 Summer,2000,Summer,Sydney
4008,None,FRG,Bronze,Cycling Men's Team Pursuit 4000 metres,Cycling,1984 Summer,1984,Summer,Los Angeles
4012,None,ITA,Silver,Water Polo Men's Water Polo,Water Polo,1976 Summer,1976,Summer,Montreal
4016,None,FRA,Gold,Rugby Men's Rugby,Rugby,1900 Summer,1900,Summer,Paris
4018,None,FRA,Silver,Sailing Mixed 1-2 Ton,Sailing,1900 Summer,1900,Summer,Paris
4019,None,FRA,Bronze,Sailing Mixed 1-2 Ton,Sailing,1900 Summer,1900,Summer,Paris
4026,None,HUN,Bronze,Football Men's Football,Football,1960 Summer,1960,Summer,Roma
4068,None,ESP,Bronze,Handball Women's Handball,Handball,2012 Summer,2012,Summer,London
4074,None,DEN,Gold,Gymnastics Men's Team All-Around Free System,Gymnastics,1920 Summer,1920,Summer,Antwerpen
4079,None,SWE,Bronze,Athletics Men's 10000 metres,Athletics,1948 Summer,1948,Summer,London
4087,None,ITA,Bronze,Rowing Men's Coxless Fours,Rowing,1968 Summer,1968,Summer,Mexico City
4093,None,RUS,Gold,Wrestling Men's Lightweight Greco-Roman,Wrestling,2008 Summer,2008,Summer,Beijing
4112,None,SUI,Bronze,Rowing Men's Coxless Fours,Rowing,1924 Summer,1924,Summer,Paris
4113,None,SUI,Gold,Rowing Men's Coxed Fours,Rowing,1924 Summer,1924,Summer,Paris
4131,None,GDR,Bronze,Speed Skating Women's 1000 metres,Speed Skating,1980 Winter,1980,Winter,Lake Placid
4147,None,SUI,Bronze,Cross Country Skiing Women's 4 x 5 kilometres Relay,Cross Country Skiing,2002 Winter,2002,Winter,Salt Lake City
4152,None,SWE,Gold,Sailing Mixed Two Person Keelboat,Sailing,1976 Summer,1976,Summer,Montreal
4157,None,USA,Silver,Figure Skating Women's Singles,Figure Skating,1952 Winter,1952,Winter,Oslo
4158,None,USA,Gold,Figure Skating Women's Singles,Figure Skating,1956 Winter,1956,Winter,Cortina d'Ampezzo
4159,None,USA,Silver,Athletics Men's High Jump,Athletics,1936 Summer,1936,Summer,Berlin
4161,None,URS,Bronze,Wrestling Men's Light-Heavyweight Freestyle,Wrestling,1960 Summer,1960,Summer,Roma
4227,None,BRA,Bronze,Football Men's Football,Football,1996 Summer,1996,Summer,Atlanta
4228,None,CUB,Silver,Boxing Men's Light-Welterweight,Boxing,1976 Summer,1976,Summer,Montreal
4229,None,CUB,Gold,Boxing Men's Welterweight,Boxing,1980 Summer,1980,Summer,Moskva
4256,None,GBR,Silver,Cycling Men's Team Pursuit 4000 metres,Cycling,1920 Summer,1920,Summer,Antwerpen
4257,None,GBR,Silver,Cycling Men's 50 kilometres,Cycling,1920 Summer,1920,Summer,Antwerpen
4258,None,GBR,Silver,Cycling Men's 50 kilometres,Cycling,1924 Summer,1924,Summer,Paris
4269,None,USA,Gold,Athletics Men's 4 x 400 metres Relay,Athletics,1928 Summer,1928,Summer,Amsterdam
4274,None,USA,Bronze,Swimming Women's 4 x 100 metres Freestyle Relay,Swimming,1952 Summer,1952,Summer,Helsinki
4300,None,ESP,Silver,Hockey Men's Hockey,Hockey,2008 Summer,2008,Summer,Beijing
4305,None,ESP,Silver,Hockey Men's Hockey,Hockey,2008 Summer,2008,Summer,Beijing
4318,None,NZL,Gold,Sailing Women's Two Person Dinghy,Sailing,2012 Summer,2012,Summer,London
4319,None,NZL,Silver,Sailing Women's Two Person Dinghy,Sailing,2016 Summer,2016,Summer,Rio de Janeiro
4327,None,LTU,Gold,Athletics Men's Discus Throw,Athletics,2000 Summer,2000,Summer,Sydney
4328,None,LTU,Gold,Athletics Men's Discus Throw,Athletics,2004 Summer,2004,Summer,Athina
4329,None,LTU,Bronze,Athletics Men's Discus Throw,Athletics,2008 Summer,2008,Summer,Beijing
4335,None,URS,Gold,Ice Hockey Men's Ice Hockey,Ice Hockey,1976 Winter,1976,Winter,Innsbruck
4361,None,BUL,Silver,Weightlifting Men's Middle-Heavyweight,Weightlifting,1980 Summer,1980,Summer,Moskva
4364,None,URS,Bronze,Ice Hockey Men's Ice Hockey,Ice Hockey,1960 Winter,1960,Winter,Squaw Valley
4365,None,URS,Gold,Ice Hockey Men's Ice Hockey,Ice Hockey,1964 Winter,1964,Winter,Innsbruck
4366,None,URS,Gold,Ice Hockey Men's Ice Hockey,Ice Hockey,1968 Winter,1968,Winter,Grenoble
4367,None,URS,Bronze,Bobsleigh Men's Two,Bobsleigh,1984 Winter,1984,Winter,Sarajevo
4380,None,URS,Silver,Rowing Women's Coxed Quadruple Sculls,Rowing,1976 Summer,1976,Summer,Montreal
4381,None,URS,Gold,Rowing Women's Double Sculls,Rowing,1980 Summer,1980,Summer,Moskva
4383,None,ARM,Bronze,Wrestling Men's Heavyweight Greco-Roman,Wrestling,2012 Summer,2012,Summer,London
4384,None,ARM,Gold,Wrestling Men's Heavyweight Greco-Roman,Wrestling,2016 Summer,2016,Summer,Rio de Janeiro
4405,None,URS,Gold,Weightlifting Men's Super-Heavyweight,Weightlifting,1972 Summer,1972,Summer,Munich
4406,None,URS,Gold,Weightlifting Men's Super-Heavyweight,Weightlifting,1976 Summer,1976,Summer,Montreal
4411,None,URS,Bronze,Diving Women's Platform,Diving,1964 Summer,1964,Summer,Tokyo
4417,None,SRB,Bronze,Water Polo Men's Water Polo,Water Polo,2012 Summer,2012,Summer,London
4418,None,SRB,Gold,Water Polo Men's Water Polo,Water Polo,2016 Summer,2016,Summer,Rio de Janeiro
4458,None,BRA,Silver,Basketball Women's Basketball,Basketball,1996 Summer,1996,Summer,Atlanta
4459,None,BRA,Bronze,Basketball Women's Basketball,Basketball,2000 Summer,2000,Summer,Sydney
4472,None,USA,Bronze,Fencing Men's Foil Team,Fencing,1932 Summer,1932,Summer,Los Angeles
4476,None,GER,Silver,Rowing Men's Coxless Fours,Rowing,1932 Summer,1932,Summer,Los Angeles
4483,None,BRA,Silver,Football Men's Football,Football,2012 Summer,2012,Summer,London
4499,None,GBR,Silver,Lacrosse Men's Lacrosse,Lacrosse,1908 Summer,1908,Summer,London
4508,None,CAN,Silver,Synchronized Swimming Women's Team,Synchronized Swimming,1996 Summer,1996,Summer,Atlanta
4509,None,GBR,Silver,Fencing Men's epee Team,Fencing,1960 Summer,1960,Summer,Roma
4525,None,CAN,Bronze,Rowing Women's Coxed Eights,Rowing,2000 Summer,2000,Summer,Sydney
4556,None,FRA,Bronze,Judo Men's Half-Lightweight,Judo,1984 Summer,1984,Summer,Los Angeles
4557,None,FRA,Gold,Judo Men's Lightweight,Judo,1988 Summer,1988,Summer,Seoul
4562,None,BRA,Bronze,Football Men's Football,Football,2008 Summer,2008,Summer,Beijing
4563,None,BRA,Silver,Football Men's Football,Football,2012 Summer,2012,Summer,London
4570,None,ROU,Silver,Wrestling Men's Light-Flyweight Greco-Roman,Wrestling,1980 Summer,1980,Summer,Moskva
4574,None,ROU,Silver,Boxing Men's Heavyweight,Boxing,1972 Summer,1972,Summer,Munich
4584,None,URS,Bronze,Diving Men's Platform,Diving,1976 Summer,1976,Summer,Montreal
4585,None,URS,Silver,Diving Men's Platform,Diving,1980 Summer,1980,Summer,Moskva
4587,None,RUS,Bronze,Shooting Men's Air Rifle 10 metres,Shooting,2000 Summer,2000,Summer,Sydney
4590,None,NIG,Silver,Taekwondo Men's Heavyweight,Taekwondo,2016 Summer,2016,Summer,Rio de Janeiro
